Profit Center,Valid To,Controlling Area,Valid From,Entered On,Created By,Field name of CO-PA characteristic,Department,Person Responsible for Profit Center,User Responsible,Currency,Successor profit center,Country/Region Key,Title,Name 1,Name 2,Name 3,Name 4,City,District,Street,PO Box,Postal Code,P.O. Box Postal Code,Language Key,Telebox number,Telephone 1,Telephone 2,Fax Number,Teletex number,Telex number,Data line,Printer name,Hierarchy Area,Company Code,Joint venture,Recovery Indicator,Equity type,Tax Jurisdiction,Region,Usage,Application,Procedure,Logical System,Lock indicator,PrCtr Formula Planning Template,Segment,Dummy function in length 1,Name,Long Text,Profit center short text for matchcode
16BK,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,OEM,OEM,OEM
16EP,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,OIL PRODUCTS,OIL PRODUCTS,OIL PRODUCTS
16F2,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,FIBER INTERMEDIATES,FIBER INTERMEDIATES,FIBER INTERMEDIATES
16F3,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,FIBER INTERMED NO.2,FIBER INTERMEDIATES NO.2,FIBER INTERMED NO.2
16FA,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,X,,,,GRAIN & FEED,GRAIN & FEED,GRAIN & FEED
16GA,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,FIXED ASSETS CONTROL,FIXED ASSETS CONTROL,FIXED ASSETS CONTROL
16GF,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,FUND CONTROL A/C,FUND CONTROL A/C,FUND CONTROL A/C
16H1,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,PLASTICS NO.1,PLASTICS NO.1,PLASTICS NO.1
16H2,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,PLASTICS NO.2,PLASTICS NO.2,PLASTICS NO.2
16HC,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,ORGANIC CHEM,ORGANIC CHEMICALS,ORGANIC CHEM
16NK,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,NON-FERROUS PRODUCTS,NON-FERROUS PRODUCTS,NON-FERROUS PRODUCTS
16NZ,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,TELECOM PRODUCTS,TELECOM PRODUCTS,TELECOM PRODUCTS
16OH,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,OVERHEAD ALLOCATION,OVERHEAD ALLOCATION,OVERHEAD ALLOCATION
16PC,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,PARENT COMPANY CURRE,PARENT COMPANY CURRE,PARENT COMPANY CURRE
16RE,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,CAPITAL & RETAINED E,CAPITAL & RETAINED E,CAPITAL & RETAINED E
16SN,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,BRAND MARKETING 1,BRAND MARKETING 1,BRAND MARKETING 1
16SO,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,BRAND MARKETING 2,BRAND MARKETING 2,BRAND MARKETING 2
16SR,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,BRAND MARKETING 3,BRAND MARKETING 3,BRAND MARKETING 3
16SV,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,APPAREL,APPAREL,APPAREL
16TL,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,GENERAL A/C CONTROL,GENERAL A/C CONTROL,GENERAL A/C CONTROL
16VK,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,ISUZU &YANMAR,ISUZU &YANMAR,ISUZU &YANMAR
16X1,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,FUND CONTROL A/-CONS,FUND CONTROL A/-CONS,FUND CONTROL A/-CONS
16X2,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,GENERAL A/C CON-CONS,GENERAL A/C CON-CONS,GENERAL A/C CON-CONS
16XP,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,PH,PH,PH
16ZA,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,DIRECTORS,DIRECTORS,DIRECTORS
16ZH,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,"PLANT, MARINE & AERO","PLANT, MARINE & AERO","PLANT, MARINE & AERO"
16ZZ,9999-12-31 00:00:00,FRV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,FR16,,,,,,,,,,,,,,,,EN,,,,,,,,,FR16,,,,,,,,,,,,,,,ZZ ACCOUNT,ZZ ACCOUNT,ZZ ACCOUNT
20B1,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,DistributionBusiness,DistributionBusiness,DISTRIBUTIONBUSINESS
20B3,9999-12-31 00:00:00,DEV3,2023-01-01 00:00:00,2024-02-16 00:00:00,ALCHAN,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,Construction Machine,Construction Machine,CONSTRUCTION MACHINE
20B5,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,MT Machine Tools SF,MT Machine Tools SF,MT MACHINE TOOLS SF
20B7,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,MT Food Machinery SF,MT Food Machinery SF,MT FOOD MACHINERY SF
20B9,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,MT Export Import,MT Export Import,MT EXPORT IMPORT
20C1,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,COATINGS,COATINGS,COATINGS
20C2,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,FUNCTIONAL CHEMICALS,FUNCTIONAL CHEMICALS,FUNCTIONAL CHEMICALS
20C3,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,INCHEM,INCHEM,INCHEM
20F2,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,FIBER INTERMEDIATES,FIBER INTERMEDIATES,FIBER INTERMEDIATES
20F3,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,FIBER INTERMED NO.2,FIBER INTERMEDIATES NO.2,FIBER INTERMED NO.2
20FD,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,FUND CONTROL,FUND CONTROL,FUND CONTROL
20GD,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,ADMINISTRATION (OVER,ADMINISTRATION (OVER,ADMINISTRATION (OVER
20GH,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,HAM,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,ADMINISTRATION (GENE,ADMINISTRATION (GENE,ADMINISTRATION (GENE
20H1,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,PLASTICS NO.1,PLASTICS NO.1,PLASTICS NO.1
20H2,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,PLASTICS NO.2,PLASTICS NO.2,PLASTICS NO.2
20H3,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,HUN,DE20,,,,,,,,,,,,street1,,,,EN,,,,+49(40)4 15 29-000000-123,,,,,DE20,,,,,,,,,,,,,,,PLASTICS NO2 HUNGARY,PLASTICS NO2 HUNGARY,PLASTICS NO2 HUNGARY
20HG,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,Power&Environm Soln,Power&Environmental Solution,POWER&ENVIRONM SOLN
20LK,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,HAM,DE20,,,,DE,,,,,,Hamburg,,Brandstwiete 1,,20457,,EN,,+49(40)4 15 29-0,,+49(40)4 15 29-000000-123,,,,,DE20,,,,,,,,,,,,,,,IND.TEXT.(TEAM),INDUSTRIAL TEXTILE (TEAM),IND.TEXT.(TEAM)
20NC,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,NCT,NCT,NCT
20PD,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,ADMINISTRATION (CAPI,ADMINISTRATION (CAPI,ADMINISTRATION (CAPI
20RM,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,HAM,DE20,,,,DE,,,,,,Hamburg,,Brandstwiete 1,,20457,,EN,,+49(40)4 15 29-0,,,,,,,DE20,,,,,,,,,,,,,,,RAW MATERIAL & TEXTI,RAW MATERIAL & TEXTILE,RAW MATERIAL & TEXTI
20VK,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,Automobile,Automobile,AUTOMOBILE
20X1,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,ADMINISTRATION -CONS,ADMINISTRATION -CONS,ADMINISTRATION -CONS
20XD,9999-12-31 00:00:00,DEV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,DSL,DE20,,,,,,,,,,,,,,,,EN,,,,,,,,,DE20,,,,,,,,,,,,,,,NCT-CONS,NCT-CONS,NCT-CONS
24AD,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,ADMINISTRATION (GENE,ADMINISTRATION (GENE,ADMINISTRATION (GENE
24EE,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,IT,,24EE,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,AGRI PRODUCTS,AGRI PRODUCTS,AGRI PRODUCTS
24EM,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,MARINE PRODUCTS,MARINE PRODUCTS,MARINE PRODUCTS
24EQ,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,IT,Title,Name 1,Name 2,Name 3,Name 4,City JTUNG,District JTUNG,Street JTUNG,,,,EN,,,,,,,,,IT24,,,,,IT1234556789,,,,,,,,,,FOOD PRODUCTS,FOOD PRODUCTS,FOOD PRODUCTS
24FA,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,GRAIN & FEED,GRAIN & FEED,GRAIN & FEED
24GA,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,ADMINISTRATION (OFFI,ADMINISTRATION (OFFI,ADMINISTRATION (OFFI
24GF,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,FUND CONTROL A/C,FUND CONTROL A/C,FUND CONTROL A/C
24HO,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,ADMINISTRATION (HEAD,ADMINISTRATION (HEAD,ADMINISTRATION (HEAD
24HP,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,PLASTICS,PLASTICS,PLASTICS
24LK,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,IND.TEXT.(TEAM),INDUSTRIAL TEXTILE (TEAM),IND.TEXT.(TEAM)
24MI,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,MILK PRODUCTS,MILK PRODUCTS,MILK PRODUCTS
24MR,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,Mila Schon RetailBss,Mila Schon retail bss,MILA SCHON RETAILBSS
24MS,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,Mila Schon,Mila Schon,MILA SCHON
24OB,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,Orobianco,Orobianco,OROBIANCO
24OH,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,OVER HEAD FOR MR. MA,OVER HEAD FOR MR. MA,OVER HEAD FOR MR. MA
24RE,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,LAST YEAR P/L EARNED,LAST YEAR P/L EARNED,LAST YEAR P/L EARNED
24SN,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,BRAND MARKETING 1,BRAND MARKETING 1,BRAND MARKETING 1
24SO,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,BRAND MARKETING 2,BRAND MARKETING 2,BRAND MARKETING 2
24SP,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,FILAMENT YARN,FILAMENT YARN,FILAMENT YARN
24SR,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,BRAND MARKETING 3,BRAND MARKETING 3,BRAND MARKETING 3
24TL,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,GENERAL A/C CONTROL,GENERAL A/C CONTROL,GENERAL A/C CONTROL
24UM,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,FEED ADDITIVE,FEED ADDITIVE,FEED ADDITIVE
24YY,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,OILS & FATS,OILS & FATS,OILS & FATS
24ZL,9999-12-31 00:00:00,ITV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,IT24,,,,,,,,,,,,,,,,EN,,,,,,,,,IT24,,,,,,,,,,,,,,,"GRAIN,DAIRY PRODUCTS","GRAIN, DAIRY PRODUCTS","GRAIN,DAIRY PRODUCTS"
33AB,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,PLANT & PROJECT,PLANT & PROJECT,PLANT & PROJECT
33BO,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,AUTO AFRICA SECTION,AUTOMOTIVE AFRICA SECTION,AUTO AFRICA SECTION
33CM,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,INDUSTRIAL MACHINERY,INDUSTRIAL MACHINERY,INDUSTRIAL MACHINERY
33CQ,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,WOODCHIP,WOODCHIP,WOODCHIP
33DH,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,AUTO AFRICA SECTION2,AUTO AFRICA SECTION 2,AUTO AFRICA SECTION2
33FH,9999-12-31 00:00:00,ZAV3,2023-04-01 00:00:00,2023-10-25 00:00:00,STAM,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,FOOD MARKETING,FOOD MARKETING,FOOD MARKETING
33HB,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,CHEMICALS,CHEMICALS,CHEMICALS
33HF,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,BTF HELI FORKLIFT,BTF HELI FORKLIFT,BTF HELI FORKLIFT
33JA,9999-12-31 00:00:00,ZAV3,2025-01-01 00:00:00,2025-04-30 00:00:00,ALCHAN,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,Construction+Realty,Construction & Real Estate,CONSTRUCTION+REALTY
33KU,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,ICT DEPARTMENT,INFORMATION & COMMUNICATION,ICT DEPARTMENT
33LB,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,CERAMICS & MINERALS,CERAMICS & MINERALS,CERAMICS & MINERALS
33MI,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,METAL & MINERAL MISI,METALS & MINERAL RESOURCES(MISI),METAL & MINERAL MISI
33MQ,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,URANIUM,URANIUM,URANIUM
33NX,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,NEW ENERGY-COAL DIV,NEW ENERGY-COAL DIV,NEW ENERGY-COAL DIV
33PP,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,PULP & PAPER PRODUCT,PULP & PAPER PRODUCT,PULP & PAPER PRODUCT
33PR,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,PLATREEF DEVELOPMENT,PLATREEF DEVELOPMENT,PLATREEF DEVELOPMENT
33RI,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,METALS & MINERAL,METALS & MINERAL RESOURCES,METALS & MINERAL
33SA,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,TEXTILE MATERIALS,TEXTILE MATERIALS,TEXTILE MATERIALS
33SP,9999-12-31 00:00:00,ZAV3,2019-04-01 00:00:00,2022-12-22 00:00:00,MKITTAKA,,,ZA33,,,,,,,,,,,,,,,,EN,,,,,,,,,ZA33,,,,,,,,,,,,,,,BTF SPLICER,BTF SPLICER,BTF SPLICER
